Name,Address.Latitude,Address.Longitude,DBSCAN_labels_case1,DBSCAN_labels_case2,DBSCAN_labels_case3,DBSCAN_labels_case4
Branson,36.673721,-93.22569200000001,0,0,0,0
Rogers,36.299935999999995,-94.173146,0,0,0,0
Bossier City,32.559018,-93.707071,0,0,0,0
Shreveport,32.439556,-93.719634,0,0,0,0
Springfield,37.15155,-93.262384,0,0,0,0
Longview,32.548638000000004,-94.724801,0,0,0,0
Joplin,37.085188,-94.474158,0,0,0,0
Broken Arrow,36.066905,-95.77593900000001,0,0,0,0
Tulsa SE,36.062426,-95.856368,0,0,0,0
Tulsa South,36.018796,-95.884218,0,0,0,0
Tulsa,36.137271999999996,-95.920397,0,0,0,0
Owasso,36.289640000000006,-95.843956,0,0,0,0
Tulsa Hills,36.055236,-96.00188299999999,0,0,0,0
Tyler,32.273429,-95.309053,0,0,0,0
Alexandria,31.280317999999998,-92.458821,0,0,0,0
Sherman,33.680506,-96.612217,0,0,0,0
Osage Beach,38.161805,-92.604264,0,0,0,0
Midwest City,35.437104,-97.39663399999999,0,0,0,0
Edmond,35.650501,-97.463539,0,0,0,0
Norman,35.236043,-97.482709,0,0,0,0
Moore,35.318058,-97.50025,0,0,0,0
Quail Springs,35.612882,-97.547433,0,0,0,0
Oklahoma City North,35.524408,-97.564417,0,0,0,0
Oklahoma City NW,35.556031,-97.640095,0,0,0,0
Yukon,35.481206,-97.76344499999999,0,0,0,0
McKinney,33.220095,-96.638182,0,0,0,0
Allen North,33.123517,-96.662084,0,0,0,0
Allen,33.099539,-96.681289,0,0,0,0
McKinney SW,33.129073999999996,-96.731176,0,0,0,0
Wylie,33.009178999999996,-96.59349499999999,0,0,0,0
Frisco North,33.173605,-96.84490699999999,0,0,0,0
Derby,37.568922,-97.24169300000001,0,0,3,3
Rockwall,32.894096999999995,-96.467985,0,0,0,0
Plano,33.037403999999995,-96.70825,0,0,0,0
Frisco,33.104797,-96.811982,0,0,0,0
Garland East,32.965271,-96.646699,0,0,0,0
Rowlett,32.908541,-96.55808499999999,0,0,0,0
Wichita NE,37.724216,-97.211489,0,0,3,3
Plano West,33.030336,-96.826952,0,0,0,0
Richardson Sq Mall,32.940404,-96.697299,0,0,0,0
North Dallas Coit Road,32.983052,-96.76957900000001,0,0,0,0
Lewisville,33.064037,-96.885036,0,0,0,0
Denton,33.189952000000005,-97.098768,0,0,0,0
Belton,38.815771999999996,-94.516304,0,0,3,3
Mesquite,32.813461,-96.621577,0,0,0,0
North Dallas,32.92778,-96.813082,0,0,0,0
